Top_left_x,Top_left_y,Top_right_x,Top_right_y,Bottom_left_x,Bottom_left_y,Bottom_right_x,Bottom_right_y,FR1_x,FR1_y,FR2_x,FR2_y,FG1_x,FG1_y,FG2_x,FG2_y,FB1_x,FB1_y,FB2_x,FB2_y,tf_FR1_x,tf_FR1_y,tf_FR2_x,tf_FR2_y,tf_FG1_x,tf_FG1_y,tf_FG2_x,tf_FG2_y,tf_FB1_x,tf_FB1_y,tf_FB2_x,tf_FB2_y,Bending_Coefficient,Bending_Binary,IFF,Spikes,Spikes_Filled
683.4036,257.06622,763.31525,217.50865,718.5861,335.47647,796.847,285.8784,325.61557,335.85706,350.24323,334.10025,380.92093,338.0689,396.03418,336.05768,438.57916,330.26974,466.8546,330.30673,-508.37747,350.40244,-484.1203,336.8748,-454.6104,309.09088,-438.34088,301.6186,-390.31424,279.79898,-358.05573,257.66467,0.0006332606511200456,0.0,0.0,0,0
686.9141,255.58989,766.6239,216.04904,722.0076,334.44885,800.08417,284.14603,332.21313,333.46027,356.4224,330.928,385.4888,333.78714,402.71246,330.8444,444.6107,327.47876,473.5315,330.9137,-495.04935,347.92395,-471.6477,336.17548,-444.07626,311.74564,-425.80115,304.49274,-380.34082,279.45456,-349.28354,251.22435,0.0001488781675241392,0.0,0.0,0,0
690.2336,253.94536,769.51544,214.16646,725.0146,333.0628,802.8618,283.32455,359.95386,329.62036,381.11093,325.98953,407.46234,328.1202,421.21045,326.2182,456.4832,324.67157,482.79465,325.5791,-489.1201,340.6371,-466.2464,331.91718,-438.87967,309.3782,-423.18237,302.41974,-382.56464,278.07327,-351.67096,255.44319,0.00026441420465038126,0.0,0.0,0,0
691.92456,252.56972,771.219,212.50302,726.9675,330.9363,805.0766,281.9323,367.6143,325.66623,396.7485,324.0133,422.54605,323.65378,432.58417,320.82993,469.18735,320.1231,501.80505,316.8356,-501.2472,347.3138,-468.24344,328.5605,-438.35226,309.40247,-425.3888,306.49255,-380.4265,278.2146,-337.1846,256.6268,0.00013732964523719294,0.0,0.0,0,0
692.43494,253.323,771.83844,212.34348,727.2712,330.64334,805.38885,281.84903,378.9992,322.18994,402.91003,320.4168,431.35852,321.5548,441.76685,317.5905,476.23648,317.51202,514.578,313.14423,-501.4522,355.91794,-472.55304,340.28116,-438.44476,315.21075,-423.69446,313.73145,-379.42508,284.57626,-325.6109,258.60056,0.00029691079314704246,0.0,0.0,0,0
693.2777,252.64339,773.0693,211.98198,727.9254,330.48373,805.8953,280.6961,389.64752,316.69446,412.59454,315.1986,443.9256,317.84082,455.75327,316.28647,493.70514,312.84567,527.53796,309.22226,-459.4487,346.99802,-434.02353,332.67896,-399.8031,304.1371,-385.43646,297.52295,-338.15912,272.65027,-293.2453,250.18584,0.0007314447345522356,0.0,0.0,0,0
694.62305,251.59546,772.662,210.99023,728.51385,331.0483,806.33563,279.72098,405.65552,308.163,425.78757,308.635,457.41812,312.8771,475.47186,309.757,515.47064,307.53522,541.6192,305.27457,-450.96054,356.17178,-427.68176,339.7163,-391.0012,306.6658,-367.5718,297.31396,-314.99298,266.8666,-278.53888,247.47298,0.0009450888708168292,0.0,0.0,0,0
694.02,249.8257,772.52826,209.25621,728.19653,328.1445,805.06836,277.80704,424.29224,301.06915,443.6004,300.5943,476.6841,303.85953,496.90292,304.3549,536.4966,304.02747,556.6038,300.11557,-417.23013,345.77045,-395.07187,331.9643,-357.25528,300.05505,-332.61337,282.51114,-281.47092,248.92462,-252.30016,237.98167,0.0008367668013026172,0.0,0.0,0,0
692.5926,249.38219,770.6456,208.91435,727.04724,328.48868,804.8084,276.86304,444.1869,297.44336,462.96558,297.27805,494.29248,297.30194,512.7978,297.61557,553.0361,299.8798,578.09503,298.745,-394.47906,338.36945,-371.7341,323.58212,-332.52936,297.46362,-308.6552,280.91885,-255.2428,240.41438,-219.17969,218.86115,8.408822967184282e-05,0.0,0.0,0,0
690.5894,249.08623,768.9498,208.6923,724.9368,327.2807,802.45337,276.7191,464.10876,285.85342,486.6745,288.40244,511.05084,292.11133,529.65466,292.16852,566.87274,295.29852,589.12225,295.40744,-365.6946,340.9393,-338.1707,317.6188,-307.9572,289.8594,-282.98267,273.35526,-232.46532,233.14374,-200.01358,211.48747,0.0005153310322209398,0.0,0.0,0,0
