Top_left_x,Top_left_y,Top_right_x,Top_right_y,Bottom_left_x,Bottom_left_y,Bottom_right_x,Bottom_right_y,FR1_x,FR1_y,FR2_x,FR2_y,FG1_x,FG1_y,FG2_x,FG2_y,FB1_x,FB1_y,FB2_x,FB2_y,tf_FR1_x,tf_FR1_y,tf_FR2_x,tf_FR2_y,tf_FG1_x,tf_FG1_y,tf_FG2_x,tf_FG2_y,tf_FB1_x,tf_FB1_y,tf_FB2_x,tf_FB2_y,Bending_Coefficient,Bending_Binary,IFF,Spikes,Spikes_Filled
745.0889,274.71213,815.51373,230.36217,779.78937,348.24838,850.6655,293.63626,728.48627,267.19635,737.3434,288.18317,749.00586,307.26926,762.5897,315.7088,797.76025,308.35236,816.5697,296.0628,-25.707933,240.04114,-27.246979,181.21281,-21.793762,124.541534,-3.5086806,88.051186,72.1979,51.671196,123.79778,48.601925,0.019680922506946166,1.0,44.7427292,2,2
745.45557,274.10468,816.0895,230.2607,780.778,347.61682,851.07983,292.76022,726.1368,265.75,736.32324,285.91623,750.1474,304.09958,762.5338,311.85297,799.24194,305.70273,817.1516,295.55167,-29.49295,245.00142,-28.077784,186.63133,-18.235577,129.14767,-1.9892102,95.83766,75.197426,54.71397,122.93354,48.42668,0.016823104887754767,1.0,36.363636,1,1
748.19165,274.8489,817.18463,229.02971,781.91864,347.9317,851.694,293.3734,704.8725,252.44554,722.9066,262.74362,745.3419,269.56406,745.01495,263.1059,769.7829,273.6905,786.7953,277.90448,-67.29319,313.61566,-40.12904,264.05746,-0.8404341,215.97719,4.6178164,231.03903,45.62844,170.42271,77.02597,135.341,0.0010904261491512296,0.0,22.7531281,1,1
750.07715,281.01138,821.12506,235.01387,785.9274,353.73416,856.1658,299.1291,723.26416,223.67982,729.2257,245.38116,740.79407,266.18433,752.31696,275.39136,788.4454,269.0294,806.50604,258.29395,2.9055307,367.53934,-6.4832506,308.47272,-3.8515558,245.51219,9.77515,209.1062,89.18941,171.00764,139.49136,168.10396,0.023105838538243013,1.0,0.3012729,0,0
765.7599,265.9181,836.6476,219.12964,802.41736,338.33405,872.9548,282.3614,720.57697,246.35548,727.0593,266.3621,738.4527,288.8214,750.34406,297.8008,784.962,292.2244,803.52814,282.341,-67.049355,306.42227,-72.80416,253.2314,-71.667946,189.80656,-58.04902,154.71925,11.125056,116.45355,56.909447,109.40776,0.02268696682033647,1.0,0.3012729,0,0
767.42444,264.74738,838.52655,218.17451,804.25073,337.70175,874.2692,281.88074,725.9099,245.12955,730.26337,264.50574,738.4953,288.35403,749.7876,296.9284,785.42633,292.96283,806.27325,281.85516,-59.46675,299.25537,-68.636986,251.34665,-74.481026,190.4268,-61.80159,157.58734,7.0659175,115.23819,58.316658,107.417915,0.02525284401678503,1.0,0.3012729,0,0
770.86755,262.56323,840.6328,215.56256,807.1605,334.59183,877.2292,277.5748,744.52234,272.8241,751.71356,293.17,762.84827,314.53934,775.27277,323.15897,764.93646,315.91373,829.2617,303.9371,-59.330902,216.06972,-63.862373,162.72589,-62.07574,103.65687,-47.282215,68.868385,-59.520718,97.94197,71.5797,24.590256,0.024851531946810758,1.0,0.3012729,0,0
766.1637,268.9365,834.72626,222.16693,802.15295,340.4468,870.6867,283.87012,755.95013,259.09412,764.3061,282.4307,776.61816,304.04095,788.41656,311.8843,821.31934,304.0899,837.0113,291.87308,-10.363376,237.25517,-16.679169,173.47441,-13.680394,109.881775,1.2089951,76.15852,73.05427,40.35353,118.466606,39.854477,0.02491616014184528,1.0,7.7101002,1,1
765.57306,267.78894,833.2688,222.77338,800.7626,341.09872,869.1559,284.60956,757.7917,260.55466,764.90546,283.73404,776.17053,306.77667,788.1408,315.1263,820.7494,306.37552,835.9062,292.6553,-8.665321,227.8107,-16.286247,166.18964,-15.514373,101.94208,-0.2946653,67.67314,72.10072,34.97884,118.22432,38.375095,0.028724480792328515,1.0,7.7101002,0,1
763.76,270.28812,832.25824,222.90645,800.01556,340.91867,868.20355,284.65115,712.6457,240.47737,732.0369,249.47876,754.0135,259.68677,766.0751,264.04123,798.35,274.43555,814.4042,275.34534,-70.10549,342.98172,-41.29841,294.0483,-8.474079,238.26524,10.901615,210.2797,64.68127,137.30289,96.616196,109.65114,0.0020283745285192664,0.0,7.7101002,1,1
