Top_left_x,Top_left_y,Top_right_x,Top_right_y,Bottom_left_x,Bottom_left_y,Bottom_right_x,Bottom_right_y,FR1_x,FR1_y,FR2_x,FR2_y,FG1_x,FG1_y,FG2_x,FG2_y,FB1_x,FB1_y,FB2_x,FB2_y,tf_FR1_x,tf_FR1_y,tf_FR2_x,tf_FR2_y,tf_FG1_x,tf_FG1_y,tf_FG2_x,tf_FG2_y,tf_FB1_x,tf_FB1_y,tf_FB2_x,tf_FB2_y,Bending_Coefficient,Bending_Binary,IFF,Spikes,Spikes_Filled
562.54376,299.40588,673.32837,282.00574,577.7666,403.2739,694.87366,371.5204,554.7983,275.92453,557.9031,307.74762,563.8433,330.41672,585.731,347.74667,610.83594,345.6863,636.8893,335.08505,-6.8107677,251.22417,-9.02622,184.6392,-4.9174743,138.00755,24.478836,96.42489,64.662285,90.0202,111.4239,99.93748,0.024534535346652706,1,30.3490143,1,1
562.5287,299.5312,672.8112,282.72226,577.5437,403.65417,694.19995,371.8598,553.3788,273.8942,558.88873,302.61703,565.6285,326.92975,586.4695,344.7103,611.4048,344.3174,637.0274,335.39673,-8.63181,256.14786,-6.32023,194.86148,-1.2947892,144.37029,26.576233,102.28505,66.272446,92.91139,112.06287,99.84324,0.02426136164415354,1,5.2882075,0,1
562.6451,299.4631,672.708,282.9257,577.4773,404.1911,693.9082,372.53827,553.3295,270.0034,560.12225,299.1549,569.04004,322.45248,589.3541,340.22394,612.8733,341.9281,636.5302,335.48395,-8.185117,263.98953,-3.8599944,201.39424,4.82033,152.07921,32.22884,110.193306,69.517044,97.54286,111.43246,100.53024,0.023155365735335793,1,5.2882075,0,1
562.1317,300.38766,673.7043,283.06052,578.56165,404.4451,694.77295,372.91916,553.4384,262.78293,562.8668,290.50128,574.2395,310.67166,593.5753,329.85718,616.71985,336.06604,638.09875,335.6949,-4.3435426,279.89728,3.5693946,219.76826,16.205769,175.53186,41.52301,130.71513,77.17857,109.41399,113.34776,101.29833,0.01786534352683873,1,5.2882075,0,1
564.9286,299.28284,676.0589,282.09967,580.74304,404.0122,697.19006,371.11194,527.1795,226.85303,546.195,247.47522,562.87555,264.36868,584.3739,284.22922,604.53436,298.82828,623.6337,311.0224,-42.13757,361.83945,-17.16336,313.22607,5.0739384,273.065,34.380848,225.0918,63.301575,188.09842,91.6647,155.90187,0.0031055493043749775,0,5.2882075,1,1
563.81964,300.458,674.9541,281.9472,580.2194,403.17908,696.09796,371.23654,546.4052,259.15585,557.37555,285.71875,570.6687,306.54877,589.5115,326.18558,612.5396,331.9149,633.93506,332.73346,-17.132767,291.2307,-6.4005475,232.24832,9.147383,185.32742,33.62261,139.07147,69.1565,118.36679,104.75309,107.61316,0.015607832876500551,0,1.5478678,0,0
566.82434,298.94675,675.57605,283.08218,581.11053,403.75867,697.02795,371.83737,555.03864,273.29514,563.3655,304.1393,572.66254,327.87018,591.5868,344.34747,614.5176,343.41238,635.30005,334.8008,-13.215579,257.11703,-6.4808083,190.45578,2.902934,140.32433,28.491495,101.59301,65.44155,94.19925,103.13099,102.68196,0.026430622098281047,1,49.5049515,1,1
567.0911,300.19644,676.9651,282.65207,582.17554,403.44183,697.89886,371.61612,558.6715,276.92426,564.9741,310.22733,574.1384,333.86688,592.85175,351.45038,616.3132,346.5843,636.5485,334.4734,-7.983149,251.0551,-5.558454,180.38852,3.2590737,130.50526,28.018013,89.288124,66.79503,88.67389,104.55806,104.01981,0.031093943880027786,1,49.5049515,1,1
567.9109,301.1451,677.50446,283.34564,582.9053,404.0582,698.3531,372.19382,560.1285,279.7947,565.0374,313.84726,572.4094,337.74457,592.7311,355.48038,617.148,349.58853,636.4182,334.5259,-7.4524894,246.97104,-7.3380547,175.25476,-1.2763855,125.61292,25.92867,83.4316,66.49038,84.15755,103.57792,105.68977,0.034102026906791844,1,24.2130756,1,1
567.51624,300.8715,677.5226,283.617,582.8778,404.20505,698.7565,372.59766,560.2837,282.23975,563.0396,316.96594,569.79755,340.90466,590.8155,357.78552,616.0481,350.76276,636.62555,334.913,-7.062829,240.86115,-10.555366,169.10555,-5.5528383,120.17435,22.536964,79.83816,64.32077,82.49496,103.70908,105.07437,0.03281446049631865,1,6.1481709,0,1
567.54956,301.35547,678.3326,283.36673,583.1634,404.8413,699.31445,372.56223,560.8583,282.9661,562.59656,318.01395,568.3886,341.964,590.04126,359.55615,615.45795,351.87604,637.1733,335.18073,-6.1431303,239.92125,-11.377337,168.42725,-7.9367166,120.07788,20.673267,78.11328,62.588543,81.62819,103.85179,105.064476,0.03210042680013326,1,6.1481709,0,1
568.63055,302.04758,679.18396,283.66666,584.16705,404.69556,700.0686,373.0195,561.9127,282.19778,563.5323,316.90356,569.29834,341.34464,590.6902,358.73544,616.3596,351.64258,638.306,335.24832,-5.8926153,243.26039,-11.337039,171.89308,-8.023559,122.13596,20.556278,80.32203,63.061226,82.7214,104.79084,105.61262,0.03183737201885922,1,6.1481709,0,1
569.63196,301.654,680.1049,283.71982,585.1496,404.58676,701.25903,373.01257,561.59924,278.211,564.6032,312.48608,571.1111,336.38812,592.5721,354.4283,616.8018,349.25024,639.55884,335.3829,-7.1489754,251.26292,-10.298033,179.81822,-5.7212234,130.58055,22.881931,87.53739,62.654507,87.16989,104.96484,104.87612,0.030306820662862482,1,6.1481709,0,1
571.09204,301.21616,681.1991,283.9395,586.0741,404.6368,701.89825,373.03635,558.74646,269.64655,564.834,300.2467,574.8543,324.22824,592.98706,342.47195,617.62585,343.31262,640.8855,335.59644,-12.374252,269.55466,-9.527658,203.9625,0.65949816,152.6498,24.505947,110.295494,63.64637,98.62248,105.05424,104.198425,0.025282962531192006,1,9.5147476,1,1
572.3846,303.83835,683.261,285.7683,588.2809,407.0749,704.5074,375.2939,525.16785,221.50757,544.55237,241.41682,561.6322,256.60913,583.43365,275.19095,604.75037,289.46982,625.6857,299.69412,-55.46434,388.30148,-29.26087,340.0594,-5.6006665,302.6774,24.96723,256.4722,56.227013,219.26071,88.612076,190.27988,0.003202546372666656,0,9.5147476,1,1
579.2877,301.61703,689.6596,283.8051,595.8463,404.30032,711.0572,372.82047,679.6449,282.72742,576.7551,292.4208,576.9226,294.20062,629.15485,338.96997,637.97644,337.54498,645.6686,338.4087,180.94412,206.13217,-1.6491503,219.6313,-1.8344898,215.91695,69.49138,106.39237,84.62778,105.51299,97.33603,100.4936,0.020199514055941708,1,0.2365464,0,0
581.5783,300.7001,691.4635,283.74313,598.0364,403.69235,712.99,372.32867,681.3102,284.74228,578.8588,289.97385,579.5564,293.26285,643.78046,367.21585,645.3492,301.06656,652.69135,310.65918,179.49701,201.30034,-1.5803667,222.86783,-1.3070865,215.86331,80.61163,44.70817,105.95214,177.84344,115.442184,154.6288,0.01815309678637213,1,0.2365464,0,0
586.84033,296.6219,697.96063,278.8028,603.727,399.27704,719.36273,367.10233,690.4098,277.71548,582.1419,286.34894,583.0482,289.0731,719.771,361.99158,690.7419,283.11835,596.27875,306.73386,185.72371,205.27443,-4.6507444,222.47035,-3.936932,216.59944,203.08061,10.050764,183.88501,192.78636,11.97867,176.3882,0.01665863795783758,1,0.2365464,0,0
588.4333,292.2025,699.28625,273.78827,605.0124,394.8465,720.8086,362.40857,692.5196,273.96915,586.6194,278.85297,593.84827,326.3151,633.70386,327.7561,648.2214,327.70877,650.7656,328.28665,186.7079,202.15994,0.5358331,228.05171,-0.14363399,130.4322,61.97243,111.34366,85.91031,105.19167,89.97632,102.91996,0.01710229604149846,1,0.2365464,0,0
589.1378,297.17422,698.0706,279.23083,604.0024,399.44717,719.206,367.83765,496.38715,275.2304,503.36197,306.88544,514.7569,328.30237,540.24963,346.32098,568.2052,341.4386,597.3224,330.06265,-134.449,272.69055,-127.99044,208.43669,-114.73334,164.29393,-81.86011,121.89767,-41.07788,120.29707,5.2913394,130.77742,0.01703255387536812,1,0.2365464,0,0
589.83344,296.83707,698.69635,279.20316,604.628,399.57016,719.72797,368.0373,502.0951,281.02844,505.74622,311.52325,517.2827,333.36624,542.20496,351.96976,569.42004,344.03317,597.6601,329.2247,-127.79837,258.2279,-125.86611,197.98207,-112.538475,153.51985,-80.708824,110.67101,-40.70621,114.8376,4.9128866,132.18686,0.019309420661029093,1,0.2365464,0,0
589.5247,296.85104,698.82733,278.95868,604.6637,399.42578,720.2199,367.5794,504.15475,282.21317,510.32465,312.1227,522.1444,334.6156,547.40454,350.99567,572.918,342.90497,596.7305,329.2633,-123.93409,255.63095,-118.73383,195.61021,-105.27721,149.63803,-72.768074,110.43342,-34.963867,115.48784,3.7395558,132.2975,0.020672750348364008,1,0.2365464,0,0
589.27295,297.19916,698.3349,278.68723,604.49384,399.15253,720.60205,366.9918,499.90674,273.25064,513.4971,303.85242,528.1307,325.08514,551.26965,339.7478,575.6785,336.56512,599.54926,330.0817,-130.02869,277.84723,-114.164955,212.12349,-96.25113,166.11835,-65.63159,129.86656,-29.459702,126.38047,8.331191,129.42532,0.015009312254811454,0,0.2365464,0,0
584.10297,297.3459,694.65674,279.54602,600.00525,399.6848,716.163,368.28635,532.7104,246.69385,537.2923,278.20718,547.7083,301.41006,571.02954,319.11377,600.29755,317.43036,629.67883,309.20172,-68.1085,321.05356,-66.98461,253.50839,-55.945953,203.56155,-24.978449,160.81992,20.384178,153.55507,70.5242,159.36905,0.01778325302790009,1,0.2365464,0,0
584.2363,297.10205,694.4779,279.2545,599.69006,399.53778,715.6503,367.84106,536.8949,251.56348,539.35364,283.737,546.5907,306.42538,572.30914,325.10367,600.37964,320.4608,629.15393,308.60516,-63.33409,309.25183,-65.326065,241.25726,-58.711838,193.63042,-24.427813,148.26016,19.6434,146.94908,69.752625,160.20392,0.019714477912984862,1,0.2365464,0,0
584.5808,296.82385,694.9853,279.07193,599.2931,399.48108,715.737,367.79565,536.81714,248.0954,539.79114,281.36963,549.26025,304.1,572.6216,322.4494,600.8731,319.33575,628.9022,308.30777,-64.017235,316.37234,-65.01589,245.46811,-54.86675,196.83336,-23.678629,152.815,20.346323,148.56955,68.86684,160.53215,0.020304301612117152,1,0.2365464,0,0
583.50574,296.58496,693.924,278.4257,599.83496,398.70303,715.45776,367.05655,533.3992,240.68883,540.4483,271.04034,551.31055,294.54553,573.8475,312.60645,601.0366,313.79224,629.11664,307.84924,-64.69908,331.97327,-60.041664,265.81122,-48.584602,214.63962,-18.70778,171.06985,23.145761,158.80437,70.72766,160.33351,0.017736271227645862,1,0.2365464,0,0
578.23444,286.77237,689.18066,268.30545,593.9883,390.27588,710.6388,358.5675,555.4861,204.23315,565.185,235.23868,577.25085,257.74802,598.8017,277.6606,626.52655,284.07715,653.11426,283.17368,-16.853504,384.921,-8.445744,312.80103,5.5172663,260.70868,35.295788,211.83932,79.73234,188.67596,126.515755,180.75015,0.015604129173708662,0,0.2365464,0,0
578.91614,286.845,690.319,268.53366,594.8402,390.3983,711.27405,358.46564,557.8211,209.56245,564.67053,241.88844,574.4205,263.90552,597.2563,283.86456,625.32,287.81354,653.8554,283.50668,-14.969559,370.54428,-11.666483,297.7966,-1.5255687,248.4889,29.737349,199.92981,74.813416,181.93248,125.80526,180.54378,0.017592091748941458,1,0.2365464,0,0
580.1128,287.16418,691.2802,269.36996,595.58765,390.9031,712.171,358.8966,559.38434,209.76585,567.7741,241.02856,577.8633,263.47632,600.78107,282.50204,627.6383,287.2868,654.63525,283.5954,-14.952327,371.74405,-8.707546,300.32425,2.027803,249.62685,33.89774,202.80704,77.00251,183.62778,125.332214,181.75813,0.017265556859157278,1,0.2365464,0,0
589.19025,271.55676,702.3384,254.39171,605.7606,375.1803,723.41394,342.7769,607.5431,197.88014,612.86774,230.11868,621.64575,252.16289,641.0319,273.1254,668.9014,279.1092,694.6,277.1376,49.21297,355.2838,48.363335,281.01205,56.184284,230.66747,81.71495,179.95992,127.48227,157.21204,174.98045,151.56041,0.021276054195646387,1,0.2365464,0,0
589.9268,270.53427,703.5581,253.5124,606.0588,374.88092,724.092,341.70886,609.44464,201.075,612.02905,234.54543,619.955,256.52426,640.939,277.52533,669.2053,280.42563,696.50745,276.41168,48.766743,344.71002,43.410843,269.1896,50.001793,219.93462,77.974236,169.16557,125.11805,152.73257,176.33055,150.81671,0.021169513568037056,1,0.2365464,0,0
590.11865,269.73846,703.42993,252.70564,605.7435,373.63724,723.8362,340.6492,610.85547,200.44794,614.3841,233.71693,621.91974,255.32649,641.83923,275.5417,669.6121,279.24377,696.3895,275.58362,50.636337,345.40817,46.975143,269.27286,53.16665,220.38289,79.90993,171.1492,126.1819,153.11127,176.38892,150.62436,0.02203779013138894,1,0.2365464,0,0
589.4175,269.30783,702.6304,251.80536,605.7883,372.63242,723.5847,339.70145,612.1298,195.30566,619.07886,225.66426,627.07556,248.6243,646.7195,268.6455,670.8152,275.38074,695.36206,274.5237,56.438354,355.93533,58.75611,284.6895,64.9807,231.84357,91.44668,182.37636,130.78278,159.05443,175.86745,151.23355,0.022089146239334292,1,0.2365464,0,0
591.87964,268.81168,703.8781,250.79645,608.3763,371.84494,725.90546,339.08966,612.3256,213.79485,621.63293,242.17345,632.7606,264.5278,647.6082,285.05225,671.8545,297.5217,692.1345,302.4957,48.04313,313.5669,54.8483,247.1019,66.318855,195.11143,84.342316,146.50778,121.11285,110.69844,154.80153,91.334076,0.019420168105407556,1,0.2365464,0,0
591.9774,268.75467,704.37585,250.48625,608.6472,372.06693,726.20276,339.003,612.975,223.96529,617.6136,256.84677,625.6759,279.97324,644.126,300.00824,668.7633,306.79654,693.7829,304.76297,45.611572,289.25464,43.39801,216.27284,49.564747,165.36047,73.21272,117.57623,111.809326,93.269554,156.1051,85.92044,0.02462846333997731,1,0.2365464,0,0
592.9365,268.46698,704.3313,249.80948,609.12726,371.62216,726.5331,338.8635,614.98706,230.33119,618.0007,265.32233,624.29755,288.32526,643.8089,307.32944,668.9708,309.42783,694.79767,303.55756,45.913258,274.50745,40.565548,197.79155,44.10825,148.19896,69.879005,102.31202,110.892006,86.99877,158.09479,86.96843,0.026172841393555257,1,1.6739203,1,1
593.77423,267.48944,705.0707,249.53758,609.62616,370.82227,727.07855,338.4889,615.3988,232.63884,618.5792,267.65268,625.0814,289.68372,644.62213,308.60764,669.823,309.88922,695.60223,303.66287,44.046864,267.78146,39.20954,191.28024,43.48016,143.8177,69.3846,98.3254,110.74374,84.79918,158.07596,85.71641,0.025785210527968457,1,1.6739203,0,0
594.15326,267.4582,705.5613,249.26633,610.43054,370.47208,727.9085,337.35422,614.50244,227.44858,620.4309,259.55972,630.2511,281.87738,652.48975,301.9617,671.9097,304.80136,695.3693,302.45947,43.471554,279.9857,43.673847,207.65663,52.977222,157.43538,82.96257,107.60811,114.544495,93.29895,156.49805,87.266624,0.022661358665193632,1,1.6739203,0,0
609.61926,269.19028,721.14795,250.66112,626.0653,371.80783,743.50214,338.64465,617.707,254.44475,625.2063,285.04916,633.92554,307.64627,652.31433,327.13074,676.6125,332.2029,701.1351,330.48148,16.402258,228.15692,20.018002,162.10391,27.469229,113.87388,50.502834,68.39915,87.52342,47.316025,128.81174,38.53549,0.022348899505514892,1,1.6739203,0,0
